####religion relocalisations
shiite_DESC;The Altered are an aggressive offshoot of Terraformed adherents which believes it is inevitable that the atmosphere will fade away, and so we must prepare and adapt. Trying to restore the terraforming machines is a dangerous waste of time. Uses Assassins society to eliminate the unaltered who have no potential to survive the impending doom, and are thus a hinderance to humanity’s chance of survival.;;;;;;;;;;;;;x
cathar;Matriarchal Singularity;cathare;Katharisch;;Cátaro;;;;;;;;;x
fraticelli;Post Terra;fraticelle;Fratizellisch;;Fraticelli;;;;;;;;;x
fraticelli_DESC;In a Post-Terran world, the faithful must adapt to the realities that Terra will never be what it once was, no matter how great its legacy.;fraticelle;Fratizellisch;;Fraticelli;;;;;;;;;x
lollard;First Terra;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
lollard_DESC;Ultra Orthodox sect of Holy Terra which was re-founded based on ancient texts in Holy Terran ruins.;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
waldensian;Original Singularity;Secular interpretation of Holy Terra and the Singularity which was re-founded based on ancient texts in Holy Terran ruins.;Waldenserisch;;Valdense;;;;;;;;;x
waldensian_DESC;Fusion of Holy Terran and Blessed Singularity beliefs.;vaudoise;Waldenserisch;;Valdense;;;;;;;;;x
bogomilist;Blessed Terra;bogomile;Bogomilisch;;Bogomilo;;;;;;;;;x
bogomilist_DESC;Extremist offshoot of Holy Terra which believes the chosen Martians will one day return to reclaim rather than reconnect with Terra.;bogomile;Bogomilisch;;Bogomilo;;;;;;;;;x
iconoclast;First Singularity;iconoclaste;Ikonoklastisch;;Iconoclasta;;;;;;;;;x
iconoclast_DESC;Ultra Orthodox sect of Blessed Singularity which believe that the less pious adherents of Blessed Singularity are just as guilty as Holy Terra.;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
monophysite;Altered Terra;monophysite;Monophysitisch;;Monofisita;;;;;;;;;x
monophysite_DESC;Believe that the disaster changed Terra in addition to Mars, and that Martians should strive to be like the new, Altered Terra since the planet and human race has been forever changed. Striving to be like the people of the past could lead to a dangerous future.;monophysite;Monophysitisch;;Monofisita;;;;;;;;;x
zikri;True Terraformed;zikrie;Zikrisch;;Zikri;;;;;;;;;x
yazidi;Pre Terraformed;yézidie;Yazidisch;;Yazidí;;;;;;;;;x
ibadi;Original Terraformed;ibadite;Ibadisch;;Ibadí;;;;;;;;;x
bektashi;Old Terraformed;bektachi;Bektaschisch;;Bektashi;;;;;;;;;x
druze;Terraformed Reborn;druze;Drusisch;;Druso;;;;;;;;;x
hurufi;New Terraformed;hurufite;Hurufisch;;Hurufi;;;;;;;;;x
norse_pagan;Seaborne;Seaborne;Seaborne;;Seaborne;;;;;;;;;x
norse_pagan_DESC;When the once vast lands of Tempe Terra sank into Oceanus Borealis, leaving only the peninsula seen today, the Seaborne rose from the waters. This tragedy eventually developed into an advantage to the Seaborne, as they mastered the oceans and rivers to take what was needed.;;;;;;;;;;;;;x
tengri_pagan;Kemetic;Kemetic;Kemetic;;Kemetic;;;;;;;;;x
tengri_pagan_DESC;Believes in the gods from above, worshipping both Spacer and Terraformed tech, but not the Spacers and Terraformed themselves. They hope that by gaining favor with these technologies they will gain access to the tree filled with untouched moons to enjoy the afterlife with the gods above the sky, and that they have to construct their tombs as close to the heavens and as preserved as possible.;;;;;;;;;;;;;x
baltic_pagan;Romuva;romuvienne;Romuvaisch;;Romuvita;;;;;;;;;x
baltic_pagan_DESC;Romuva;romuvienne;Romuvaisch;;Romuvita;;;;;;;;;x
finnish_pagan;Aiti Marsilainen;Äiti Marsilainen;Äiti Marsilainen;;Äiti Marsilainen;;;;;;;;;x
finnish_pagan_DESC;Aiti Marsilainen paganism is diverse, varying a lot between tribes and regions. It is shamanistic and animist, revering a multitude of gods, including Ukko/Perkele, Kuu and, in the east, Mastor-Ava, goddess of the Earth.;Le paganisme finnois varie beaucoup selon la tribu ou la région. Il est empreint de chamanisme et d'animisme et on y vénère de multiples dieux, dont Ukko (aussi appelé Perkele), Kuu et, dans l'est, Mastor-Ava, déesse de la terre.;Das Finnisches Heidentum ist vielfältig, mit großen Unterschieden zwischen Stämmen und Regionen. Es ist schamanisch und animistisch und bezieht sich auf eine Vielzahl von Göttern, einschließlich Ukko/Perkele, Kuu und im Osten Mastor-Ava, Göttin der Erde.;;El paganismo Finlandés es diverso, variando mucho entre las tribus y las regiones. Es chamánico y animista, reverencia a una multitud de dioses, incluyendo a Ukko/Perkele, Kuu y, en el este, a Mastor-Ava, diosa de la Tierra.;;;;;;;;;x
zoroastrian;Divine Cycle;;;;;;;;;;;;;x
zoroastrian_DESC;The Singularity is merely the moment that each cycle of the Divine Cycle begins. Adherents of this ideology believe the disaster and being earth-like irrelevant due to the cycle of the universe, though does not deny Earth’s existence. The Divine Cycle is practiced among royalty through Divine Marriage.;;;;;;;;;;;;;x
khurmazta;Mekhanist;;;;;;;;;;;;;x
khurmazta_DESC;This branch of Cyclicism is said to have come from the Immortal Elite of the Tau Ceti Star System, who had been mutinied against by their former subservients, the Spacers, during the Great Voyage to investigate the what remained of the Sol System in the wake of the Great Disaster. Adherents of this ideology see the disaster and being earth-like as merely a curiosity due to humanity's existence in other star systems, and other realities, beyond Sol.;;;;;;;;;;;;;x
mazdaki;Cyclical Universe;;;;;;;;;;;;;x
mazdaki_DESC;The Singularity is merely the moment that each cycle of the universe begins. Adherents of this ideology believe the disaster and being earth-like irrelevant due to the Many Cycles. They embrace equality more than most of forms of Cyclicism.;;;;;;;;;;;;;x
manichaeism;Final Cycle;;;;;;;;;;;;;x
manichaeism_DESC;The Singularity is merely the moment that each cycle of the universe begins, unfortunately the Cycle will not continue on indefinitely. Adherents of this ideology believe the disaster and being earth-like to be important mysteries which must be solved to prolong humanity's survival, given that the univserse will never again rejuvinate itself.;;;;;;;;;;;;;x

hellenic_pagan;Olympic;hellénique;Hellenisch;;Helenística;;;;;;;;;x
hellenic_pagan_DESC;The Olympic religion is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Post-Disaster Mars with the conquests of Xander the Great and the Olympian Empire, it would go on to become the dominant religion in the western Tharsis Rise until the rise of Singularity and Solarianism.;La religion hellénique est polythéiste, avec un panthéon de douze dieux majeurs dont Jupiter, Mars, Mercure, Venus, Minerve et Vesta. Elle puise ses origines dans la Grèce antique et, grâce aux conquêtes d'Alexandre le Grand et l'Empire romain, elle a pu devenir la religion dominante en Méditerrannée jusqu'à l'avènement du Christianisme.;Die hellenische Religion ist polytheistisch mit einem Pantheon von zwölf Hauptgöttern, zu welchem Jupiter, Mars, Merkur, Venus, Minerva und Vesta gehören. Sie entstammt dem alten Griechenland und wurde durch die Eroberungen Alexander des Großen und des Römischen Reiches zur Hauptreligion im Mittelmeerraum, bis zum Aufkommen des Christentums.;;La religión helenística es politeista, con un panteón de doce Dioses mayores incluyendo Júpiter, Marte, Mercurio, Venus, Minerva y Vesta. Se originó en la antigua Grecia y, con las conquistas de Alejandro Magno y el Imperio Romano, se convirtió en la religión predominante en el Mediterráneo hasta el auge del Cristianismo.;;;;;;;;;x
GOD_JUPITER;Olympus;Jupiter;Jupiter;;Júpiter;;;;;;;;;x
GOD_MERCURY;Tharsis;Mercure;Merkur;;Mercurio;;;;;;;;;x
GOD_MARS;Mars;Mars;Mars;;Marte;;;;;;;;;x
GOD_VENUS;Alba;Venus;Venus;;Venus;;;;;;;;;x
GOD_MINERVA;Arsia;Minerve;Minerva;;Minerva;;;;;;;;;x
GOD_VESTA;Ascraeus;Vesta;Vesta;;Vesta;;;;;;;;;x
pagan_DESC;Since the dawn of history, both the West and the East have been home to countless Pagan religions and cults unrelated to the Singularity-based faiths.;Depuis l'aube de l'Histoire, tant l'Europe que le Moyen-orient on été le foyer d'innombrables religions païennes et cultes détachés des fois abrahamiques.;Seit dem Beginn der Geschichte waren sowohl Europa als auch der Nahe Osten Heimat unzähliger heidnischer Religionen und Kulte, die nicht zum abrahamitischen Glauben zählten.;;Desde el comienzo de los tiempos, tanto Europa como Oriente Medio han sido el hogar de incontables religiones paganas y de cultos no relacionados con las religiones abrahámicas.;;;;;;;;;x

nestorian;Father Mars;;;;;;;;;;;;;x
nestorian_DESC;Father Mars is a heretical branch of Mother Earth which have given up on the proclaimed "backwards ways of The Survivors", and are now embracing new beliefs more in line with standard Martian Singulary sects.;Le nestorianisme est une branche du christianisme primitif qui professe que le Christ possède deux natures séparées, l'une divine et l'autre humaine. Elle est à l'opposé de la position monophysite pour laquelle le Christ possède une seule et unique nature. La personne à la tête de l'Église nestorienne est le patriarche d'Orient.;Der Nestorianismus ist ein frühchristlicher Zweig, welcher glaubt, dass Christus zwei Naturen hat - eine heilige und eine menschliche. Dies ist das Gegenteil des Monophysitischen Glaubens, laut dem Christus nur eine Natur hat. Das nominelle Oberhaupt ist der Patriarch des Ostens.;;El Nestorianismo es una rama temprana del cristianismo que proclama que Cristo tenía dos naturalezas separadas - una divina y una humana. Es lo contrario al monofisismo, en el que Cristo solo tenía una naturaleza. La cabeza nominal de la Iglesia Nestoriana es el Patriarca del Este.;;;;;;;;;x
THE_DEMIURGE;the Demiurge;le Démiurge;der Demiurg;;el Demiurgo;;;;;;;;;x
EVTOPTA37012;The traitorous git!;Quelle infâme trahison !;Dieser verräterische Narr!;;¡Cretino traidor!;;;;;;;;;x
paulician;Equal Singularity;nestorienne;Nestorianisch;;Nestoriano;;;;;;;;;x
paulician_DESC;An altruistic cohort of Singularity followers with socialist influences.;nestorienne;Nestorianisch;;Nestoriano;;;;;;;;;x

d_paulician;The Equal Patriarchate;Patriarcat paulicien;Das Paulizianische Patriarchat;;El Patriarcado Pauliciano;;;;;;;;;x
d_paulician_adj;Equal singurlarian;paulicienne;Paulizianisch;;Pauliciano;;;;;;;;;x
c_lori_adj;Lorian;lorienne;Lorianisch;;Loriano;;;;;;;;;x

messalian;Mother Earth;messalienne;Messalianismus;;Mesaliano;;;;;;;;;x
messalian_DESC;Mother Earth is the Singularity sect that originated on the ruins of Earth in the wake of the Great Disaster, influenced by multiverse concepts similar to the Divine Cycle. With much of the natural world on Earth destroyed, the original small band of survivors believed they could only save humanity through the carnal senses, and that this perception is necessary to reach perfection. Each person is born with a duty to continue humanity, with incest considered sacred since it was practised by the children of The Survivors. They have no formal rites and no strict church hierarchy.;Les messaliens, ou euchites (''ceux qui prient'') sont une secte hérétique issue du christianisme qui trouve ses origines en Mésopotamie, influencée par des fois dualistiques comme le zoroastrisme. Les messaliens croient que Dieu peut être perçu par les cinq sens et que cette perception est nécessaire pour atteindre la perfection. Chacun est né avec un démon intérieur et seule la prière intense permet de le chasser. Ils croient également que Lucifer est le fils aîné de Dieu et qu'il est une force bénéfique. Pour eux, l'inceste est sacré car il a été pratiqué par les enfants d'Adam et Eve. Ils ne possèdent ni rites officiels ni structure hiérarchique stricte.;Die Messalianiten oder Euchiten ("Jene, die beten") sind eine christlich-ketzerische Sekte mit Ursprung in Mesopotamien, beeinflusst von dualistischen Glauben wie dem Zoroastrianismus. Messalianiten glauben, dass Gott durch körperliche Sinne wahrgenommen werden kann und dass dies notwendig ist, um Vollkommenheit zu erreichen. Jede Person wird mit einem inneren Dämon geboren und nur intensive Gebete können ihn vertreiben. Sie glauben außerdem, dass Luzifer ein Sohn und eine Kraft Gottes ist und dass Inzest geheiligt ist, da die Kinder von Adam und Eva desgleichen taten. Sie haben keine formellen Riten und keine echte Kirchenhierarchie.;;Los Mesalianos, o Euchitas ('quienes no rezan'), son una secta herética cristiana originaria de Mesopotamia, influenciada por fes dualistas como el Zoroastrismo. Los Mesalianos creen que dios puede percibirse por los sentidos carnales, y que esa percepción es necesaria para la perfección. Cada persona nace con un demonio interior, y sólo con intensa oración puede expulsarse. También creen que Lucifer es el hijo mayor de Dios y una fuerza del bien, y que el incesto es sagrado pues lo practicaron los hijos de Adán y Eva. No tienen ritos formales ni jerarquía eclesiástica.;;;;;;;;;;;x
GOD_MOTHER_EARTH;Mother Earth;;;;;;;;;;;;;x
GOD_GAIA;Gaia;;;;;;;;;;;;;x
GOD_SURVIVORS;The Survivors;;;;;;;;;;;;;x
GOD_HOMELAND;The Homeland;;;;;;;;;;;;;x
GOD_FATHER_MARS;Father Mars;;;;;;;;;;;;;x
EGOD_DISASTER;The Great Disaster;;;;;;;;;;;;;x

GENERAL_CLOSE_KIN_UNION;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to all vassals of the Faith.;Puisque §Y[ActorExtra.GetFirstName]§! est $RELATION$ de §Y[RecipientExtra.GetFirstName]§!, cela constituerait une union sacrée et tous les vassaux de la même religion en seraient satisfaits.;Da §Y[ActorExtra.GetFirstName]§! §Y[RecipientExtra.GetFirstName]s§! $RELATION$ ist, wäre dies eine heilige Verbindung und erfreut alle Vasallen gleichen Glaubens.;;Como §Y[ActorExtra.GetFirstName]§! es $RELATION$ de §Y[RecipientExtra.GetFirstName]§!, será una unión sagrada, complaciendo a todos los vasallos de la Fe.;;;;;;;;;x
EVTDESC502;Like the children of The Survivors after the Great Disaster, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have formed a sacred union, pleasing to [From.Religion.GetRandomGodName]. We can collect a Royal Aid Duty to pay for the ceremonies.;Comme les enfants d'Adam et Eve à l'aube des temps, [From.Get_le_TitledFirstName] et s[New.GetOnA] [GetFromVsNewRelation], [New.Get_le_TitledFirstName], ont formé une union sacrée qui plaît [From.Get_au_HighGod]. Nous pourrions lever une contribution royale afin de financer la cérémonie.;Gleich den Kindern Adam und Evas am Anbeginn der Zeit gingen [From.GetTitledFirstName] und [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] eine heilige Verbindung zum Gefallen von [From.Religion.GetRandomGodName] ein. Wir können eine Hilfssteuer erheben, um die Zeremonie zu bezahlen.;;Como los hijos de Adán y Eva en el amanecer de los tiempos, [From.GetTitledFirstName] y [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] han formado una sagrada unión, complaciendo a [From.Religion.GetRandomGodName]. Podemos recolectar la Dote de Ayuda Real para pagar las ceremonias.;;;;;;;;;x

HOLY_TERRA;Holy Terra;;;;;;;;;;;;;x
GOD_GOD;Singularity;Dieu;Gott;;Dios;;;;;;;;;x
GOD_THE_LORD;the Singularity;le Seigneur;Der Seigneur;;El Seigneur;;;;;;;;;x
GOD_JESUS;Sagan;Sagan;Sagan;;Sagan;;;;;;;;;x
GOD_THE_BLESSED_VIRGIN;the Blessed Scientist;the Blessed Scientist;the Blessed Scientist;;the Blessed Scientist;;;;;;;;;x
LUCIFER;The Void;;;;;;;;;;;;;x
SATAN;Satan;;;;;;;;;;;;;x
THE_DEVIL;The Devil;;;;;;;;;;;;;x
GOD_ALLAH;Terraformer;Terraformer;Terraformer;;Terraformer;;;;;;;;;x
GOD_THE_GREATEST;the Greatest;le Très Grand;den Größten;;El Altísimo;;;;;;;;;x
GOD_THE_SPIRITS;the Machines;les Esprits;die Geister;;Los Espíritus;;;;;;;;;x
GOD_THE_ANCESTORS;the Ancestors;les Ancêtres;die Ahnen;;Los Ancestros;;;;;;;;;x
GOD_THOR;Poseidon;Poseidon;Poseidon;;Poseidon;;;;;;;;;x
GOD_THE_THUNDERER;the Drowner;le Tonnant;den Donnerer;;Dios del Trueno;;;;;;;;;x
GOD_THE_ALLFATHER;the Aquafather;le Père de tout;den Allvater;;El Todopoderoso;;;;;;;;;x
GOD_ODIN;Cronus;Cronus;Cronus;;Cronus;;;;;;;;;x
GOD_TENGRI;Anubis;Anubis;Anubis;;Anubis;;;;;;;;;x
GOD_ERLIK_KHAN;Sekhmet;Sekhmet;Sekhmet;;Sekhmet;;;;;;;;;x
GOD_TUNG-AK;Maat;Maat;Maat;;Maat;;;;;;;;;x
GOD_GABIJA;Gabija;Gabija;Gabija;;Gabija;;;;;;;;;x
GOD_PERKUNAS;Perkunas;Perkunas;Perkunas;;Perkunas;;;;;;;;;x
GOD_THE_GREAT_BEAR;the Great Bear;le Grand Ours;den Großen Bären;;el Gran Oso;;;;;;;;;x
GOD_UKKO;Ukko;Ukko;Ukko;;Ukko;;;;;;;;;x
GOD_PERKELE;Perkele;Perkele;Perkele;;Perkele;;;;;;;;;x
GOD_JUMI;Jumi;Jumi;Jumi;;Jumi;;;;;;;;;x
GOD_AHURA_MAZDA;Ahura Mazda;Ahura Mazda;Ahura Mazda;;Ahura Mazda;;;;;;;;;x
GOD_MANAH;Manah;Manah;Manah;;Manat;;;;;;;;;x
THE_BIBLE;The Texts;Bible;Die Bibel;;La Biblia;;;;;;;;;x
THE_ASCETICUS;The Anthropocene;Ascètes;der Asceticus;;Los Ascetas;;;;;;;;;x
THE_PANTOKRATOR;the Pantokrator;le Pantocrator;der Pantokrator;;el Pantocrátor;;;;;;;;;x
THE_KORAN;The Diagrams;Coran;Der Koran;;El Corán;;;;;;;;;x
THE_LEGENDS;The Legends;Légendes;Die Legenden;;Las Leyendas;;;;;;;;;x
THE_SAGAS;The Sagas;Sagas;Die Sagen;;Las Sagas;;;;;;;;;x
THE_GATHAS;The Gathas;Gathas;Die Gathas;;Las Gathas;;;;;;;;;x

GOD_ZUN;Zun;Zun;Zun;;Zun;;;;;;;;;x
GOD_THE_SUN;the Sun;le Soleil;die Sonne;;el Sol;;;;;;;;;x
GOD_THE_GIVER_OF_JUSTICE;the Giver of Justice;le Justicier;den Geber der Gerechtigkeit;;el que Imparte Justicia;;;;;;;;;x
THE_DARKNESS;the Darkness;les Ténèbres;Die Dunkelheit;;la Oscuridad;;;;;;;;;x
d_zun_warriors;Knights of the Sun;Chevaliers du Soleil;Ritter der Sonne;;Caballeros del Sol;;;;;;;;;x
d_zun_warriors_adj;Zun;zun;Zun;;Zun;;;;;;;;;x
job_spiritual_zun_pagan;Diviner;Devin;Wahrsager;;Adivino;;;;;;;;;x
job_spiritual_zun_pagan_reformed;Diviner;Devin;Wahrsager;;Adivino;;;;;;;;;x
zun_pagan;Solarian;zuniste;Zunist;;Zunista;;;;;;;;;x
zun_pagan_adj;Solarian;zuniste;Zunist;;Zunista;;;;;;;;;x
zun_pagan_reformed;Church of Sol;zuniste;Zun-Kirche;;Iglesia de Zun;;;;;;;;;x
zun_pagan_reformed_adj;Solarian;zuniste;Zunist;;Zunista;;;;;;;;;x
zun_pagan_DESC;Zun, the Giver of Justice, is the sun-god originally worshipped by the Zunbil dynasty on Mars. Zun embodies wisdom, power, fire and the light that drives away the night. Defining features in-game:\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries;Zun, le Justicier, est le dieu-soleil qui était à l'origine vénéré par la dynastie Zunbil, en Afghansistan. Zun incarne la sagesse, le pouvoir, le feu et la lumière qui vainc la nuit. Caractéristiques en jeu :\n§Y*§! Peut déclarer des guerres d'assujettissement contre toutes les religions païennes\n§Y*§! Inférieure en conversion et vulnérables aux missionnaires non-païens;Zun, der Geber der Gerechtigkeit, ist der ursprünglich von der Zunbil-Dynastie in Afghanistan verehrte Gott. Zun verkörpert Weisheit, Macht, Feuer und das Licht, das die Nacht vertreibt. Besondere Merkmale im Spiel:\n§Y*§! Kann gegen alle anderen Heiden Unterwerfungskriege erklären\n§Y*§! Schwach bei Bekehrungen und anfällig für nicht-heidnische Missionare;;Zun, el que Imparte Justicia, es el rey-sol originariamente adorado por la dinastía Zunbil en Afganistán. Zun representa sabiduría, poder, fuego y la luz que conduce a través de la oscuridad. Definiendo características en juego:\n§Y*§! Puedes declarar Guerras de Subyugación contra otros paganos\n§Y*§! Inferior en conversión y vulnerable a los misioneros no paganos.;;;;;;;;;x

hindu;Vimana;Vimana;Vimana;;Vimana;;;;;;;;;x
